name,id,planetary,decivRemove,script,desc,icon,order
Децивилизованная Планета,decivilized,,,com.fs.starfarer.api.impl.campaign.econ.Decivilized,"Единой стабильной власти здесь нет. Цивилизация пала, и нынешнее население фактически неизвестно, хотя можно засечь группы выживших, бандитов и мародёров.",graphics/icons/markets/decivilized.png,130
Остатки Децивилизованного Общества,decivilized_subpop,,,com.fs.starfarer.api.impl.campaign.econ.DecivilizedSubpop,"Цивилизация была возвращена на $market, зачастую, под дулом винтовок Гаусса. Однако, за границами обжитых областей всё ещё остаётся неизвестное количество выживших, бандитов и мародёров.",graphics/icons/markets/decivilized.png,130
Заброшенная Станция,abandoned_station,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AbandonedStation,"Эта станция заброшена.",graphics/icons/markets/abandoned.png,130
Домашнее ремесло,cottage_industry,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CottageIndustry,"$market имеет легкую промышленность, основанную на старой технологии и интенсивной рабочей силе.Растущий спрос на органическое топливо и материалы, которые обеспечивают товары ручной работы, хотя и неэффективны, но забавны.",graphics/icons/markets/cottage_industry.png,230
Аванпост,outpost,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Outpost,"$market больше похоже на гарнизон или военный корабль с жестким набором командных структур.Это, хотя и повышает стабильность, требует некоторого персонала для обработки внутренних транзакций безопасности.",graphics/icons/markets/outpost.png,130
Лютеранская церковь,luddic_majority,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LuddicMajority,"Если $market будет контролироваться луддской церковью, его стабильность будет значительно улучшена,иначе она будет уменьшена.А аскетизм в лютеранской доктрине приводит к снижению спроса на местную роскошь.",graphics/icons/markets/luddic_majority.png,142
Индукционные минные поля,stealth_minefields,,TRUE,com.fs.starfarer.api.impl.campaign.econ.StealthMinefields,"$market индукционные минные поля не только защищают от вторжений внешних врагов, но и обеспечивают безопасность для посещающих иностранных торговцев.Повышение стабильности.",graphics/icons/markets/stealth_mines.png,510
Региональная столица,regional_capital,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RegionalCapital,"Главный административный центр, который контролирует безопасность и логистику. Повышение стабильности.",graphics/icons/markets/capital.png,500
Свободный Порт,free_market,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FreeMarket,"Местное Портовое управление особо не следит за тем, кто и чем здесь торгует. Правила иммиграции тут тоже довольно мягкие, что приводит к большему притоку мигрантов, хотя иногда и несколько сомнительного качества. Из-за этого некоторые фракции смотрят на колонию с недоверием.",graphics/icons/markets/free_port.png,141
Запрет иммиграции,closed_immigration,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ClosedImmigration,"Официально иммиграция на $market не разрешена. Такая политика не только приведет к значительному замедлению темпов роста населения, но и создаст пространство для деятельности определенных преступников.",graphics/icons/markets/vice_demand.png,142
,,,,,,,
Мертвая земля World,uninhabitable,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"Бесплодная планета, поверхность $market не только не имеет органической жизни,но и на планете нельзя вести сельскохозяйственную деятельность за пределами закрытой экосистемы.",graphics/icons/markets/uninhabitable_wide.png,10
Ледяной мир,ice,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldIce,"Средняя температура $market's намного ниже точки замерзания воды и некоторые обычные атмосферные газы падают в виде снега. Сугробы и ледники легких, летучих элементов могут быть легко добыты.",graphics/icons/markets/ice_world_wide.png,10
Пустынный мир,desert,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldDesert,"$market: пустынная планета.Только сухие растения поддерживают тонкую атмосферу и практически не могут выполнять сельскохозяйственные работы.",graphics/icons/markets/desert_world_wide.png,10
Засушливый мир,arid,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldArid,"$market покрыта обширными и сухими равнинами и пустошами. Поскольку водные ресурсы очень скудны, очень сложно развить крупное сельское хозяйство.",graphics/icons/markets/arid_world_wide.png,10
Водный мир,water,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldWater,"Климат $market является гостеприимным, но сельское хозяйство ограничивается в основном аквакультурой и узкоспециализированной инфраструктурой, необходимой для любого развития среды обитания и промышленности.",graphics/icons/markets/water_world_wide.png,10
Мир джунглей,jungle,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldJungle,"$market это влажный, теплый мир джунглей, покрытый буйной растительностью и экзотическими формами жизни, что затрудняет ведение сельского хозяйства и поддержание постоянной инфраструктуры.",graphics/icons/markets/jungle_world_wide.png,10
Земной мир,terran,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTerran,"$market настолько похож по климату на Старую Землю, насколько это возможно в этом секторе, обеспечивая идеальные условия для ведения сельского хозяйства и поселения.",graphics/icons/markets/terran_world_wide.png,10
Бесплодный пограничный мир,barren_marginal,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldBarrenMarginal,"Окружающая среда пустынна и безжалостна, даже если человек оснащен воздушными масками и защитным снаряжением, ему все равно трудно выжить на $market, хотя некоторые инженерные терраформированные лишайники находят его достаточно дружелюбным.",graphics/icons/markets/barren_desert_wide.png,10
Сумеречный мир,twilight,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTwilight,"Гравитационная сила прочно окутала планету, превратив $market в постоянно трансформирующийся мир во все времена года. Огромная разница в температуре между днем и ночью делает жизнь крайне суровой, даже на модернизированных объектах. Благодаря разумному использованию звездного щита и звездного зеркала была создана нежная экосфера и цивилизованный остров.",graphics/icons/markets/twilight_terran_world.png,10
Мир тундры,tundra,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTundra,"$market после геохимической трансформации пригоден для обитания человека, но все еще находится на уровне ледникового периода старой земли. Хотя миллионы квадратных километров покрыты ледниками, хвойные леса и луга также существуют в некоторых уголках планеты.",graphics/icons/markets/tundra_terran_wide.png,10
Вулканический мир,cryovolcanic,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"Чрезвычайно холодный мир с метановым снегом, покрывающим аммиачные вулканы, которые извергаются в любое время. Звездное излучение катализирует летучие вещества с образованием кислорода и азота, в то время как водород вытесняется в космос.",graphics/icons/markets/cryo_world_wide.png,10
,,,,,,,
Диссидентское население,dissident,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Dissident,"$market здесь собираются различные хулиганы,мятежники, либеральные мыслители, художники и другие нарушители спокойствия.Как полиция, так и толпа увеличили спрос на оружие и морские пехотинцы. В результате частых миграций также увеличивается число наемных экипажей.",graphics/icons/markets/dissidents.png,139
Штаб-квартира,headquarters,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Headquarters,"$market является центром военного командования и материально-технического обеспечения для правящей власти. Повышает стабильность рынка.

Увеличивает качество и количество офицеров во флоте $market.",graphics/icons/markets/headquarters.png,360
Комплекс гидропоники,hydroponics_complex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Hydroponics,"Сельскохозяйственные комплексы с герметичной биосферой, которые позволяют вести сельское хозяйство на орбите или на поверхности бесплодной планеты. Требуется работа экипажа и увеличивает спрос на органику и тяжелую технику.",graphics/icons/markets/hydroponics.png,120
,,,,,,,
Население,population_1,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"Несколько десятков человек живут здесь постоянно.",graphics/icons/markets/population01.png,20
Население,population_2,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"Сотни людей населяют $market.",graphics/icons/markets/population02.png,20
Население,population_3,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"Тысячи людей называют $market домом.",graphics/icons/markets/population03.png,20
Население,population_4,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"Десятки тысяч людей живут на $market.",graphics/icons/markets/population04.png,20
Население,population_5,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"$market является домом для сотен тысяч людей.",graphics/icons/markets/population05.png,20
Население,population_6,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"На $market живут миллионы.",graphics/icons/markets/population06.png,20
Население,population_7,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"$market это мир десятков миллионов.",graphics/icons/markets/population07.png,20
Население,population_8,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"$market один из немногих миров в Секторе с населением в сотни миллионов.",graphics/icons/markets/population08.png,20
Население,population_9,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"Драгоценное убежище для человечества в опасной галактике, $market является домом для миллиардов душ.",graphics/icons/markets/population09.png,20
Население,population_10,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"$market является доминирующим населенным центром в Секторе, соперником Старой Земли, где проживают десятки миллиардов людей.",graphics/icons/markets/population10.png,20
,,,,,,,
,,,,,,,
,,,,,,,
# event-related market conditions,,,,,,,
Дефицит еды,event_food_shortage,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FoodShortage,"Временно отсутствует доступная еда на $market.
- Стабильность снижена на $stabilityPenalty
- Приблизительно нужно $neededFood единицы еды, для прекращения дефицита
- Цены на продукты питания выросли из-за сокращения поставок продуктов питания
- Повышение репутации и опыта от продажи продуктов питания",graphics/icons/markets/food_shortage.png,1000
Недавние беспорядки,recent_unrest,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RecentUnrest,"$market в последнее время потрясли некоторые события и даже если беспорядки закончились, последствия все еще продолжаются.",graphics/icons/markets/recent_unrest.png,2000
Нарушение торговли,event_trade_disruption,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeDisruption,"Tорговый флот, входящий и выходящий из $market, несет огромные потери при транспортировке, и виновником может быть война с пиратами.

Затронуты следующие товары:
$commoditySummary",graphics/icons/markets/trade_disruption.png,1100
Контрабанда,event_smuggling,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Smuggling,"$market испытывает большой объем контрабандной деятельности.

- Стабильность снижена на $smugglingPenalty",graphics/icons/markets/smuggling.png,1000
Награда системы,event_bounty,,TRUE,com.fs.starfarer.api.impl.campaign.econ.SystemBounty,,graphics/icons/markets/bounty.png,1000
Сбежавшее ядро ИИ,rogue_ai_core,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RogueAICore,"На $market или где-то рядом находится сбежавшее Ядро ИИ. Долгосрочные цели его и амбиции, помимо собственной безопасности, неизвестны.

Уже одна только необходимость быть готовым к возможным враждебным действиям со стороны Ядра осложняет повседневную жизнь и создаёт почву для различных слухов.",graphics/icons/markets/rogue_ai.png,1200
ИИ администратор (скрытый),ai_core_admin,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AICoreAdmin,Hidden condition to track when the core becomes un-removable. Does not need an icon.,graphics/icons/markets/rogue_ai.png,1000
Пиратские Атаки,pirate_activity,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.PirateActivity,"Всё указывает на то, что пираты избрали эту систему целью для своих атак - прямых и непрямых: от таможенников, закрывающих глаза на подозрительные грузы, поддельных документов и грузов, не соответствующих заявленному в документах, до других разных проявлений уголовно наказуемой активности.

У пиратов, скорее всего, есть где-то недалеко база.",graphics/icons/markets/pirate_activity.png,1300
Подпольная Ячейка Пути Луддика,pather_cells,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.LuddicPathCells,,graphics/icons/markets/pather_cells.png,1400
,,,,,,,
# stand-alone conditions,,,,,,,
Перебои с Поставками,shipping_disruption,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShippingDisruption,,graphics/icons/markets/trade_disruption.png,1000
,,,,,,,
# misc,,,,,,,
Ретрансляционная станция связи (скрытая),comm_relay,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CommRelayCondition,Hidden condition; does not need icon.,,
,,,,,,,
,,,,,,,
# procgen conditions,,,,,,,
Пригодна для Жизни,habitable,TRUE,,com.fs.starfarer.api.impl.campaign.econ.Habitable,На поверхности $market можно находиться без скафандров или иных средств защиты.,graphics/icons/markets/habitable.png,21
,,,,,,,
,,,,,,,
Редкие Руины,ruins_scattered,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"До Коллапса эта планета почувствовала лишь лёгкое прикосновение мегапроекта Домена по освоению космоса. Остались лишь реденькие разбитые купола, но и они, возможно, хранят в себе тайны и сокровища ушедшей цивилизации.",graphics/icons/markets/ruins_scattered.png,100
Средние Руины,ruins_widespread,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Довольно много руин, редкие вспышки на радаре от источников излучения, характерные пятна пенометаллокерамических зданий на $market свидетельствуют о малых, но направленных усилиях по колонизации, предпринимавшихся во время поздней эпохи расширения Домена.",graphics/icons/markets/ruins_widespread.png,100
Большие Руины,ruins_extensive,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Руины городов повсеместно встречаются на $market, с вытягивающимися из них мёртвыми лентами автодорог и линий маглева, идущих к другим таким же разрушенным городам, заброшенным фабрикам, аквапоническим комплексам и башням связи.",graphics/icons/markets/ruins_extensive.png,100
Огромные Руины,ruins_vast,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market вся покрыта обширными руинами: города, заводы, шахты, фермы, дома. Мёртвых здесь до ужаса много, и среди них - полезные материалы, товары, инструменты и оружие. Эта планета - метафорическое надгробие над амбициозным проектом Домена по колонизации космоса и власти над ним.",graphics/icons/markets/ruins_vast.png,100
,,,,,,,
,,,,,,,
Холодно,cold,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Низкие температуры на поверхности $market требуют специального оборудования и усложняют задачу жизнеобеспечения и возведения сооружений.",graphics/icons/markets/cold.png,25
Очень холодно,very_cold,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Экстремальный холод на $market требует специального подхода и оборудования для обеспечения безопасного существования и усложняет задачу снабжения, жизнеобеспечения и возведения сооружений.",graphics/icons/markets/cold_extreme.png,25
,,,,,,,
Жарко,hot,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Высокие температуры на поверхности $market требуют специального оборудования и усложняют задачу жизнеобеспечения и возведения сооружений.",graphics/icons/markets/hot.png,25
Очень жарко,very_hot,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Экстремальная жара на $market требует специального подхода и оборудования для обеспечения безопасного существования и усложняет задачу снабжения, жизнеобеспечения, возведения сооружений и ограничивает срок их службы.",graphics/icons/markets/hot_extreme.png,25
,,,,,,,
,,,,,,,
Тектоническая Активность,tectonic_activity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Поверхность $market нестабильна и подвержена сильным землетрясениям. Любые сооружения должны быть армированы, а любые раскопки будут связаны с большим риском.",graphics/icons/markets/tectonic.png,26
Экстремальная Тектоническая Активность,extreme_tectonic_activity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Кора $market находится в постоянном движении, что приводит к бесконечным землетрясениям и вулканическим извержениям катастрофических масштабов. Дабы избежать страшных последствий, любое начинание здесь следует производить с величайшей осторожностью и многократно дублированными системами предупреждения и безопасности. Любые постройки в этом мире можно лишь с крайней натяжкой считать условно постоянными.",graphics/icons/markets/tectonic_extreme.png,26
,,,,,,,
,,,,,,,
Нет Атмосферы,no_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"На $market нет атмосферы. Поверхность планеты абсолютно беззащитна перед жёсткими условиями открытого космоса с его постоянными потоками радиации и микрометеоритов.",graphics/icons/markets/atmosphere_none.png,27
Разреженная Атмосфера,thin_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Разреженная атмосфера решительно цепляется за поверхность $market.",graphics/icons/markets/atmosphere_thin.png,27
Токсичная Атмосфера,toxic_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Атмосфера $market исключительно токсична и агрессивна, легко разъедает незащищенные поверхности и требует герметизации любых жилых помещений.",graphics/icons/markets/atmosphere_toxic.png,27
Плотная Атмосфера,dense_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Поверхность $market покрыта пеленой из плотной атмосферы, верхний слой которой изобилует бурными вихрями, а нижний слой представляет из себя приторный надоедливый супчик. Сенсорам трудно приходится в таких условиях, и работать приходится осторожно.",graphics/icons/markets/atmosphere_dense.png,27
,,,,,,,
,,,,,,,
Мягкий Климат,mild_climate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.MildClimate,"Климат $market приветлив и мягок; легкий туман встречает каждый восход солнца, прежде чем превратиться в мягкие облачка, манящие к себе приятным свечением на закате.",graphics/icons/markets/climate_mild.png,28
Экстремальная Погода,extreme_weather,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Яростные бури, изрыгающие разряды молний, рвут на части небо $market. С орбиты это, конечно, выглядит божественно, а вот на поверхности такие бури серьёзно затрудняют жизнь, логистику и перемещение.",graphics/icons/markets/weather_extreme.png,28
,,,,,,,
Низкая Гравитация,low_gravity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LowGravity,"Сила тяжести на поверхности $market необычно низкая, хотя и заметно выше невесомости. Рабочий процесс и эксплуатация (относительно) тяжелой техники усложняются из-за нестандартных процедур в условиях изменённых сил трения, тяжести и давления.",graphics/icons/markets/gravity_low.png,24
Высокая Гравитация,high_gravity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.HighGravity,"Сила тяжести на поверхности $market крайне высока. Даже чтобы просто ходить, уже требуются экзоскелеты, а все привычные действия очень быстро изматывают. Постоянно жить на такой планете, по меньшей мере, просто изнурительно. Особую опасность представляют падения, а если проектирование сооружений не проводить со знанием дела и каплей адекватной паранойи, то и обрушения.",graphics/icons/markets/gravity_high.png,24
,,,,,,,
Сильное Излучение,irradiated,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Поверхность $market постоянно находится под ливнем радиоактивных частиц и излучения. Любому, кто хочет прожить долгую жизнь, придётся проживать в специально экранированных сооружениях. То же самое относится и к неусиленной электронике, наноматериалам и наномашинам.",graphics/icons/markets/irradiated.png,29
,,,,,,,
,,,,,,,
Враждебная Биосфера,inimical_biosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LCAttractorLow,"Биосфера $market смертельна для незащищенных людей. Для биологов такая планета - подарок, но вот для рабочих постоянные протоколы изоляции, карантина и деконтаминации являются серьёзным препятствием.",graphics/icons/markets/inimical_biosphere.png,30
,,,,,,,
Мировой Океан,water_surface,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Мировой океан покрывает всю планету, и здесь практически нет твёрдой почвы для посадки, жизни и строительства. Для работы на этой планете требуется специальное обучение и оборудование.",graphics/icons/markets/water_covered.png,31
,,,,,,,
Плохое Освещение,poor_light,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Звезда, вокруг которой вращается $market, находится слишком далеко, и планете достаётся лишь малая толика света и энергии, излучаемой ею.",graphics/icons/markets/poor_light.png,32
Полная Темнота,dark,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Поверхность $market - это мир теней и темноты. Света от звезды на планете почти нет.",graphics/icons/markets/darkness.png,32
,,,,,,,
Метеоритные Удары,meteor_impacts,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Планету с поразительной частотой накрывает метеоритными дождями. Любой человек, попавший сюда, должен присматривать за небом. Любые постоянные сооружения следует от греха закапывать поглубже и укреплять получше.",graphics/icons/markets/meteor_impacts.png,33
,,,,,,,
,,,,,,,
Загрязнения,pollution,,,com.fs.starfarer.api.impl.campaign.econ.Pollution,"Промышленная эксплуатация планеты человеком оставила после себя мир, полный диоксинов, соединений серы, пепла и мерного пощёлкивания распадающейся радиоактивной пыли. Обрывки пластикового мусора облепляют осколки пенометалла, а небо похоже на помехи в телевизоре.",graphics/icons/markets/pollution.png,110
,,,,,,,
,,,,,,,
Бедные Залежи Руды,ore_sparse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"На $market есть редкие залежи руды, но они представляют скорее академический, чем промышленный интерес, поскольку их добыча экономически не выгодна.",graphics/icons/markets/ore_sparse.png,50
Умеренные Залежи Руды,ore_moderate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market имеет умеренные залежи руды, которые при правильном подходе можно выгодно использовать.",graphics/icons/markets/ore_moderate.png,50
Хорошие Залежи Руды,ore_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market имеет богатые, обширные и ценные месторождения руды, которые можно с выгодой извлекать.",graphics/icons/markets/ore_abundant.png,50
Богатые Залежи Руды,ore_rich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Богатые месторождения полезных ископаемых искрятся на поверхности $market, но только амбициозные предприниматели смогут извлечь их них баснословную прибыль.",graphics/icons/markets/ore_rich.png,50
Ультрабогатые Залежи Руды,ore_ultrarich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Под поверхностью $market находятся огромные залежи руды, такие богатства не снились даже легендарным добывающим корпорациям времён Домена.",graphics/icons/markets/ore_ultrarich.png,50
,,,,,,,
,,,,,,,
Бедные Залежи Редких Руд,rare_ore_sparse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"На $market есть редкие залежи трансплутонических руд, но они представляют скорее академический, чем промышленный интерес, поскольку их добыча экономически не выгодна.",graphics/icons/markets/rareore_sparse.png,60
Умеренные Залежи Редких Руд,rare_ore_moderate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market имеет скромные трансплутонические месторождения, которые при правильном подходе можно выгодно использовать.",graphics/icons/markets/rareore_moderate.png,60
Хорошие Залежи Редких Руд,rare_ore_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Обильные транслутонические залежи на $market достаточной богаты, чтобы заинтересовать достойного полководца или магната.",graphics/icons/markets/rareore_abundant.png,60
Богатые Залежи Редких Руд,rare_ore_rich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"В толще коры $market лежат изобильные залежи редких руд, их экстракция обещает великую силу тем, кто сможет всего лишь протянуть руку и забрать их себе.",graphics/icons/markets/rareore_rich.png,60
Ультрабогатые Залежи Редких Руд,rare_ore_ultrarich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"На снимках и сенсорах виден блеск руд настолько богатых, что одна лишь мысль об их использовании вызывает мечты о такой силе, с которой можно сжечь дотла всё живое в видимой вселенной - или о веке славы и богатства для империи хрустальных башен, навроде существовавших во времена, когда Домен ещё не стал историей.",graphics/icons/markets/rareore_ultrarich.png,60
,,,,,,,
,,,,,,,
Следовые Количества Летучих Газов,volatiles_trace,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Найденные здесь следовые количества летучих газов не стоят усилий, потраченных на их добычу.",graphics/icons/markets/volatiles_trace.png,40
Умеренные Запасы Летучих Газов,volatiles_diffuse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Летучих газов здесь вполне может быть достаточно для промышленной добычи.",graphics/icons/markets/volatiles_diffuse.png,40
Много Летучих Газов,volatiles_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Летучие газы с $market вполне можно извлекать с хорошей выгодой.",graphics/icons/markets/volatiles_abundant.png,40
Богатые Запасы Летучих Газов,volatiles_plentiful,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market - это источник летучих веществ мирового масштаба - богатый, глубокий и мощный.",graphics/icons/markets/volatiles_plentiful.png,40
,,,,,,,
,,,,,,,
Следовые Количества Органики,organics_trace,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"На $market практически нет запасов органики, хотя какое-то количество добыть получится.",graphics/icons/markets/organics_trace.png,38
Умеренные Запасы Органики,organics_common,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Месторождения органики на $market можно с выгодой использовать.",graphics/icons/markets/organics_common.png,38
Много Органики,organics_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Река богатства течет под поверхностью $market - и ждёт тех, кто найдет её и заберёт себе.",graphics/icons/markets/organics_abundant.png,38
Богатые Запасы Органики,organics_plentiful,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Залежи ценнейшей органики бьют фонтанами из поверхности $market, образуя глубокие тёмные озёра, намекающие на несметные богатства под ними.",graphics/icons/markets/organics_plentiful.png,38
,,,,,,,
,,,,,,,
